,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
142,2002,Anne-Marie,738808,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
143,"Kein Plan",Loredana,734697,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
144,"MIDDLE CHILD","J. Cole",733985,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
145,"Pa Mí - Remix",Dalex,733695,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
146,"Tal Vez","Paulo Londra",727653,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
147,Indeciso,Reik,724832,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
148,F.N,"Lil Tjay",722141,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
149,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,719516,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
150,SAD!,XXXTENTACION,718970,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
151,"SOS (feat. Aloe Blacc)",Avicii,710572,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
152,"i'm so tired...",Lauv,707444,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
153,Runaway,"Sebastian Yatra",703987,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
154,"Be Honest (feat. Burna Boy)","Jorja Smith",703875,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
155,Atrévete,"Nicky Jam",695261,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
156,"Boy With Luv (feat. Halsey)",BTS,690292,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
157,"Going Bad (feat. Drake)","Meek Mill",690160,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
158,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",689077,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
159,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",686641,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
160,"Too Good At Goodbyes","Sam Smith",685671,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
161,"Don't Stop Me Now - Remastered",Queen,683518,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
162,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",681444,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
163,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",681290,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
164,"Mood Swings","A Boogie Wit da Hoodie",674638,https://open.spotify.com/track/2xE16muNCmhZwSOv3i1d1H
165,"break up with your girlfriend, i'm bored","Ariana Grande",670361,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
166,"The Git Up","Blanco Brown",667607,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
167,"I Forgot That You Existed","Taylor Swift",665925,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
168,Moonlight,XXXTENTACION,665327,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
169,Bruises,"Lewis Capaldi",662275,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
170,HP,Maluma,658994,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
171,Thunder,"Imagine Dragons",658521,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
172,Wanted,OneRepublic,653290,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
